     k            crst-ang           q             ang          -t          crst-t
 0.62955964E+01 0.32965288E+01 0.72000000E+01 0.00000000E+00 0.78411954E+00 0.22847431E+00
 0.63055964E+01 0.33624704E+01 0.72000000E+01 0.00000000E+00 0.76935209E+00 0.23267497E+00
 0.63155964E+01 0.34134580E+01 0.72000000E+01 0.00000000E+00 0.75462448E+00 0.23582920E+00
 0.63255964E+01 0.33989286E+01 0.72000000E+01 0.00000000E+00 0.73993655E+00 0.23445416E+00
 0.63355964E+01 0.33058489E+01 0.72000000E+01 0.00000000E+00 0.72528815E+00 0.22767370E+00
 0.63455964E+01 0.29494763E+01 0.72000000E+01 0.00000000E+00 0.71067913E+00 0.20281022E+00
 0.63555964E+01 0.24656992E+01 0.72000000E+01 0.00000000E+00 0.69610934E+00 0.16927825E+00
 0.43601583E+01 0.91599826E-04 0.72000000E+01 0.20000000E+01 0.46732967E+01 0.91666312E-05
 0.43701583E+01 0.99393436E-04 0.72000000E+01 0.20000000E+01 0.46468295E+01 0.99237978E-05
 0.43801583E+01 0.10781875E-03 0.72000000E+01 0.20000000E+01 0.46204521E+01 0.10740435E-04
 0.43901583E+01 0.11692334E-03 0.72000000E+01 0.20000000E+01 0.45941641E+01 0.11620864E-04
 0.44001583E+01 0.12675882E-03 0.72000000E+01 0.20000000E+01 0.45679652E+01 0.12569768E-04
 0.44101583E+01 0.13737936E-03 0.72000000E+01 0.20000000E+01 0.45418550E+01 0.13592041E-04
 0.44201583E+01 0.14884349E-03 0.72000000E+01 0.20000000E+01 0.45158330E+01 0.14692963E-04
 0.44301583E+01 0.16121338E-03 0.72000000E+01 0.20000000E+01 0.44898989E+01 0.15878124E-04
 0.44401583E+01 0.17455467E-03 0.72000000E+01 0.20000000E+01 0.44640523E+01 0.17153407E-04
 0.44501583E+01 0.18893775E-03 0.72000000E+01 0.20000000E+01 0.44382926E+01 0.18525104E-04
 0.44601583E+01 0.20443701E-03 0.72000000E+01 0.20000000E+01 0.44126197E+01 0.19999845E-04
 0.44701583E+01 0.22113220E-03 0.72000000E+01 0.20000000E+01 0.43870330E+01 0.21584721E-04
 0.44801583E+01 0.23910866E-03 0.72000000E+01 0.20000000E+01 0.43615322E+01 0.23287309E-04
 0.44901583E+01 0.25845735E-03 0.72000000E+01 0.20000000E+01 0.43361168E+01 0.25115661E-04
 0.45001583E+01 0.27927448E-03 0.72000000E+01 0.20000000E+01 0.43107866E+01 0.27078265E-04
 0.45101583E+01 0.30166197E-03 0.72000000E+01 0.20000000E+01 0.42855411E+01 0.29184090E-04
 0.45201583E+01 0.32572832E-03 0.72000000E+01 0.20000000E+01 0.42603799E+01 0.31442657E-04
 0.45301583E+01 0.35158827E-03 0.72000000E+01 0.20000000E+01 0.42353027E+01 0.33864008E-04
 0.45401583E+01 0.37936596E-03 0.72000000E+01 0.20000000E+01 0.42103091E+01 0.36458998E-04
 0.45501583E+01 0.40919040E-03 0.72000000E+01 0.20000000E+01 0.41853986E+01 0.39238853E-04
 0.45601583E+01 0.44120099E-03 0.72000000E+01 0.20000000E+01 0.41605710E+01 0.42215693E-04
 0.45701583E+01 0.47554330E-03 0.72000000E+01 0.20000000E+01 0.41358259E+01 0.45402126E-04
 0.45801583E+01 0.51237231E-03 0.72000000E+01 0.20000000E+01 0.41111628E+01 0.48811543E-04
 0.45901583E+01 0.55185225E-03 0.72000000E+01 0.20000000E+01 0.40865814E+01 0.52458095E-04
 0.46001583E+01 0.59415431E-03 0.72000000E+01 0.20000000E+01 0.40620814E+01 0.56356478E-04
 0.46101583E+01 0.63946413E-03 0.72000000E+01 0.20000000E+01 0.40376624E+01 0.60522620E-04
 0.46201583E+01 0.68797222E-03 0.72000000E+01 0.20000000E+01 0.40133240E+01 0.64972775E-04
 0.46301583E+01 0.73988582E-03 0.72000000E+01 0.20000000E+01 0.39890659E+01 0.69724632E-04
 0.46401583E+01 0.79542178E-03 0.72000000E+01 0.20000000E+01 0.39648876E+01 0.74796633E-04
 0.46501583E+01 0.85481310E-03 0.72000000E+01 0.20000000E+01 0.39407889E+01 0.80208575E-04
 0.46601583E+01 0.91829907E-03 0.72000000E+01 0.20000000E+01 0.39167694E+01 0.85980674E-04
 0.46701583E+01 0.98614007E-03 0.72000000E+01 0.20000000E+01 0.38928288E+01 0.92134943E-04
 0.46801583E+01 0.10586039E-02 0.72000000E+01 0.20000000E+01 0.38689666E+01 0.98693897E-04
 0.46901583E+01 0.11359828E-02 0.72000000E+01 0.20000000E+01 0.38451826E+01 0.10568214E-03
 0.47001583E+01 0.12185744E-02 0.72000000E+01 0.20000000E+01 0.38214763E+01 0.11312457E-03
 0.47101583E+01 0.13066978E-02 0.72000000E+01 0.20000000E+01 0.37978475E+01 0.12104783E-03
 0.47201583E+01 0.14006914E-02 0.72000000E+01 0.20000000E+01 0.37742958E+01 0.12948017E-03
 0.47301583E+01 0.15009123E-02 0.72000000E+01 0.20000000E+01 0.37508209E+01 0.13845129E-03
 0.47401583E+01 0.16077323E-02 0.72000000E+01 0.20000000E+01 0.37274224E+01 0.14799201E-03
 0.47501583E+01 0.17215535E-02 0.72000000E+01 0.20000000E+01 0.37040999E+01 0.15813566E-03
 0.47601583E+01 0.18427844E-02 0.72000000E+01 0.20000000E+01 0.36808532E+01 0.16891588E-03
 0.47701583E+01 0.19718697E-02 0.72000000E+01 0.20000000E+01 0.36576819E+01 0.18036937E-03
 0.47801583E+01 0.21092642E-02 0.72000000E+01 0.20000000E+01 0.36345857E+01 0.19253340E-03
 0.47901583E+01 0.22554557E-02 0.72000000E+01 0.20000000E+01 0.36115643E+01 0.20544795E-03
 0.48001583E+01 0.24109493E-02 0.72000000E+01 0.20000000E+01 0.35886172E+01 0.21915425E-03
 0.48101583E+01 0.25762881E-02 0.72000000E+01 0.20000000E+01 0.35657443E+01 0.23369662E-03
 0.48201583E+01 0.27520341E-02 0.72000000E+01 0.20000000E+01 0.35429451E+01 0.24912074E-03
 0.48301583E+01 0.29388006E-02 0.72000000E+01 0.20000000E+01 0.35202193E+01 0.26547652E-03
 0.48401583E+01 0.31372207E-02 0.72000000E+01 0.20000000E+01 0.34975667E+01 0.28281528E-03
 0.48501583E+01 0.33479549E-02 0.72000000E+01 0.20000000E+01 0.34749868E+01 0.30119035E-03
 0.48601583E+01 0.35717039E-02 0.72000000E+01 0.20000000E+01 0.34524794E+01 0.32065824E-03
 0.48701583E+01 0.38091951E-02 0.72000000E+01 0.20000000E+01 0.34300442E+01 0.34127738E-03
 0.48801583E+01 0.40612079E-02 0.72000000E+01 0.20000000E+01 0.34076808E+01 0.36311040E-03
